---
source: c:\EOTIR\EOTIR RPG\Directories\COMPNOR - Galactic Citizen Directory.xlsx
category: in_game_documents/laws_policies
sheets: ['Sheet1']
source_type: EOTIR RPG
extraction_date: 2025-05-03T15:31:06.225225
---

--- Sheet: Sheet1 ---

                         Name                                    Rank        Division                          Department
               Tavria Treyson                 Executor/Grand Minister  Throne/COMPNOR                  COMPNOR Leadership
     Blake Lexington Tagge IX                      Executive Director         COMPNOR            IR Sovereign Wealth Fund
                  Bryan Dugan                          Grand Minister         COMPNOR                  COMPNOR Leadership
                  Grant Kline                       (Senior) Minister         COMPNOR       IR Comptroller General (IRCG)
             Raphael Murieaux                       (Senior) Minister         COMPNOR                  COMPNOR Leadership
              Angela Ingraham                       (Senior) Minister         COMPNOR                  COMPNOR Leadership
                   Tom Winter                                Minister         COMPNOR                      Public Affairs
                       Vacant                                Minister         COMPNOR          Development/Infrastructure
                       Vacant                                Minister         COMPNOR          Development/Infrastructure
             Alexander Westin                                Minister         COMPNOR                              Health
             Natalie Williams                      (Special) Minister         COMPNOR                              Health
               William Benson                                Minister         COMPNOR                Economic Development
                 Dan Vespucci                                Minister         COMPNOR             Select Committee Office
               Janelle Niccol                                Minister         COMPNOR             Select Committee Office
                 Eric Kingsly                                Minister         COMPNOR             Select Committee Office
              Francesca Allen                                Minister         COMPNOR             Select Committee Office
               Matthew Stover                                Minister         COMPNOR             Select Committee Office
            Isabella K. Isles                     Investment Director         COMPNOR            IR Sovereign Wealth Fund
               Jason Applebee                        Director/General         COMPNOR                                IRSB
              Barbara Solomon                                Minister         COMPNOR              Operational Excellence
                 Agnus Loxley                                Minister         COMPNOR                Capitol Architecture
                 Emily Marley                                Minister         COMPNOR       Technology & Innovation (T&I)
               Matteo Rivizzi                                Minister         COMPNOR                            T&I: R&D
                  Frank Miles                                Minister         COMPNOR                 T&I: Transformation
                 George Black                                Minister         COMPNOR                     T&I: Consulting
                Hayden Warden                                Minister         COMPNOR                     T&I: Technology
                Michael Orson                                Minister         COMPNOR                      IRCG: Strategy
          Walter Westinghouse                                Minister         COMPNOR               IRCG: COMPNOR Finance
               Michelle Kalin                                Minister         COMPNOR                IRCG: Administration
              Katherine Frist                                Minister         COMPNOR                         IRCG: Audit
                 Phillip Knox                                Minister         COMPNOR                Personnel Management
        Michael Mitchell XVII                                Minister         COMPNOR                             Justice
                 Kurt Tilling                                Minister         COMPNOR                             Finance
                  Ryan Hafele                                Minister         COMPNOR                      Transportation
                 James Levitt                                Minister         COMPNOR                               Labor
            Alexander Maximus                                Minister         COMPNOR                  Federal Regulation
           Mitchell Stayerson                                Minister         COMPNOR                Valorumian Institute
               Charles Valons                                Minister         COMPNOR                Valorumian Institute
           Madeline Javenkoff                                Minister         COMPNOR                          IR Library
                Graeme Shuker                                Minister         COMPNOR                    Sports & Tourism
                Derrick Olsen                                Minister         COMPNOR                           Education
             Amber Wellington                                Minister         COMPNOR              Culture & Preservation
                 Hosk Buw'atu                        (High) Judicator IR Court System                       High Judicate
                Allan Deapoli                               Judicator IR Court System                       High Judicate
               Elouna Joffuro                               Judicator IR Court System                       High Judicate
                 Sarah Fuller                           Administrator IR Court System                Court Administration
            Danielle Cywanski            Division Comptroller General IR Court System                Court Administration
                 Tim Burgetti                        Division Counsel IR Court System                Court Administration
                   Doug Smart               Divison Personnel Officer IR Court System                Court Administration
              Colton Hannover                       Managing Director         COMPNOR          New Order Capital Holdings
               Trent Halloway                       Managing Director         COMPNOR          New Order Capital Holdings
              Rachel Matthews                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Bradley Clark                          Senior Advisor         COMPNOR          New Order Capital Holdings
            Mitchell Stuecker                Executive Vice President         COMPNOR          New Order Capital Holdings
                Michelle Shaw                Executive Vice President         COMPNOR          New Order Capital Holdings
                  Ashley Grow                       Managing Director         COMPNOR          New Order Capital Holdings
               Kelsey Herrman                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Jamie Dalton                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Tonya Heathrow                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Eliza Nielson                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Katie Tremini                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Lisa Bingham                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Patrick Brown                       Managing Director         COMPNOR          New Order Capital Holdings
             Claire Underwood                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Danielle Humes                Executive Vice President         COMPNOR          New Order Capital Holdings
                  Ryan Harris                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Meredith Wright                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Robert Elliot                   Senior Vice President         COMPNOR          New Order Capital Holdings
                  Eli Frances                          Vice President         COMPNOR          New Order Capital Holdings
                  Andy Phelps                          Vice President         COMPNOR          New Order Capital Holdings
              Treyson Landrum                Executive Vice President         COMPNOR          New Order Capital Holdings
                    Ben Gates                          Vice President         COMPNOR          New Order Capital Holdings
                    Al Keegan                   Senior Vice President         COMPNOR          New Order Capital Holdings
                 Marc Stratus                  Chairman/CEO - Defense         COMPNOR          New Order Capital Holdings
     Laurence Michael Howe II                   Group Chief Executive         COMPNOR          New Order Capital Holdings
              Silvio Busuttil                 President/COO - Defense         COMPNOR          New Order Capital Holdings
           Annabelle Schembri                 President/CEO - Defense         COMPNOR          New Order Capital Holdings
              Tiffany Barrows                 President/CEO - Defense         COMPNOR          New Order Capital Holdings
               Tyler Matthews                   Group Chief Executive         COMPNOR          New Order Capital Holdings
                Alicia Palfry           President/CEO - Entertainment         COMPNOR          New Order Capital Holdings
                 Mason Braxby           President/CEO - Entertainment         COMPNOR          New Order Capital Holdings
           Alessandra Lorosso           President/CEO - Entertainment         COMPNOR          New Order Capital Holdings
                Elisa Naraden           President/CEO - Entertainment         COMPNOR          New Order Capital Holdings
              Brandon Graxton           President/CEO - Entertainment         COMPNOR          New Order Capital Holdings
                 Casey Besmer                   Group Chief Executive         COMPNOR          New Order Capital Holdings
             Cooper Mailliard      President/CEO - Food & Restaurants         COMPNOR          New Order Capital Holdings
                 Casey Besmer      President/CEO - Food & Restaurants         COMPNOR          New Order Capital Holdings
                  Austin Grau                   Group Chief Executive         COMPNOR          New Order Capital Holdings
                Wallace Bercy                  President/CEO - Retail         COMPNOR          New Order Capital Holdings
               Theadora Mazel                  President/CEO - Retail         COMPNOR          New Order Capital Holdings
                Astrid Raynor                  President/CEO - Retail         COMPNOR          New Order Capital Holdings
                Marco Trezzan                  President/CEO - Retail         COMPNOR          New Order Capital Holdings
          Stephanie Camilleri                  President/CEO - Retail         COMPNOR          New Order Capital Holdings
                  Austin Grau                  President/CEO - Retail         COMPNOR          New Order Capital Holdings
                Talvin Graham                   Group Chief Executive         COMPNOR          New Order Capital Holdings
                Talvin Graham                 President/CEO - Finance         COMPNOR          New Order Capital Holdings
                  Axel Larson                 President/CEO - Finance         COMPNOR          New Order Capital Holdings
                Elanor Mattis                 President/CEO - Finance         COMPNOR          New Order Capital Holdings
                Ian Aquiliana                       CFO/COO - Finance         COMPNOR          New Order Capital Holdings
                 Kevin Flaxco                 President/CEO - Finance         COMPNOR          New Order Capital Holdings
          Christelle Gramegna                 President/CEO - Finance         COMPNOR          New Order Capital Holdings
              Grayson Stewart                   Group Chief Executive         COMPNOR          New Order Capital Holdings
                Nicola Attard          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
              Grayson Stewart          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
                 Ryder Bettel          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
                Lorenzo Etgen          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
           Alessandra Lorosso          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
               Emilia Sereguy          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
           Alessandra Lorosso          President/CEO - Science & Tech         COMPNOR          New Order Capital Holdings
               Derrek Rinaldi                       Managing Director         COMPNOR          New Order Capital Holdings
              Grant Malcomson                Executive Vice President         COMPNOR          New Order Capital Holdings
                 Avery Ivanek                   Senior Vice President         COMPNOR          New Order Capital Holdings
               Tucker Carlton                   Senior Vice President         COMPNOR          New Order Capital Holdings
              Frank Maldonado                   Senior Vice President         COMPNOR          New Order Capital Holdings
                   Jake Piper                   Senior Vice President         COMPNOR          New Order Capital Holdings
                Jackie McComb                Executive Vice President         COMPNOR          New Order Capital Holdings
